podcast_title,podcast_id,nr_of_reviews,average_rating,main_category,sentiment_bool,compound_score_mean,compound_score_min,compound_score_max,compound_score_median,unique_authors,reviews_per_author
And That's Why We Drink,b36117b22ff78f5c98a1cb66eb13490d,3848,4.505197505197505,comedy,0.8032744282744283,0.6973997661122661,-0.9919,0.9977,0.8979,3602,1.0682953914491948
What If World - Stories for Kids,ddd451a18055f0108edf79f8c3c9bf15,3528,4.8313492063492065,comedy,0.6658163265306123,0.5225910147392291,-0.9953,0.9998,0.6705,1878,1.878594249201278
Girls Gotta Eat,ed1d26a2f16587ec292421e188f8ee83,3463,3.7782269708345364,comedy,0.663297718740976,0.562314438348253,-0.9898,0.9973,0.8165,3043,1.1380216891225765
Be There in Five,da8fc675052df9f7d581cd06f5bb6940,3034,4.898154251812788,comedy,0.9143045484508899,0.7785578114700067,-0.8934,0.9995,0.8932,2866,1.0586182833217028
That Sounds Fun with Annie F. Downs,ffc15725aa93982af70fad75bee49e1a,1240,4.895161290322581,christianity,0.9596774193548387,0.8687487096774194,-0.8637,0.9981,0.9416,1182,1.0490693739424704
Joel Osteen Podcast,f4611ddbb62e95ce0a287bfd6da597de,1026,3.7514619883040936,christianity,0.6364522417153996,0.5372418128654971,-0.9888,0.9988,0.7717,993,1.0332326283987916
Timothy Keller Sermons Podcast by Gospel in Life,d21e31d7c5c10fe42f9f430c0f502855,963,4.898234683281412,christianity,0.8847352024922118,0.6991341640706127,-0.7003,0.9951,0.8165,920,1.0467391304347826
The Next Right Thing,c0a88c0d4805cf60bb90ca34337438f4,882,4.926303854875283,christianity,0.95578231292517,0.8200561224489795,-0.8622,0.9969,0.9171,866,1.0184757505773672
Mormon Stories - LDS,f560777de9ac31484aa74e5b16a91b47,811,4.336621454993835,christianity,0.7127003699136868,0.5752911220715167,-0.9617,0.995,0.7964,775,1.0464516129032257
Journeywomen,be7e52a35796d78e5ba94b04339e33b6,796,4.976130653266332,christianity,0.9736180904522613,0.8861111809045227,-0.3947,0.9975,0.9449,785,1.0140127388535032
Born to Impact,c2eef89dd005fd97c88ae6a4191d3d78,788,4.881979695431472,christianity,0.8972081218274112,0.7025447969543148,-0.9563,0.9975,0.8124,771,1.0220492866407263
The Bible Binge,f034c2c035198bcfd781907627876430,785,4.763057324840764,christianity,0.9210191082802548,0.7955969426751592,-0.8932,0.9988,0.9168,769,1.0208062418725619
Pints With Aquinas,dbff7172efd9adb50e02f573f43f983f,716,4.868715083798882,christianity,0.9175977653631285,0.7645854748603351,-0.9428,0.9993,0.8698,703,1.0184921763869133
Exploring My Strange Bible,eaf0048c493d201c40cc1850d78196e8,671,4.983606557377049,christianity,0.9448584202682563,0.791519821162444,-0.7067,0.9967,0.8906,664,1.0105421686746987
Don't Keep Your Day Job,e4f40593687b648068b986ad01bacb7d,3288,4.940085158150851,business,0.9540754257907542,0.8362560523114355,-0.8658,0.9993,0.9215,3011,1.0919960146130854
The Dave Ramsey Show,d1c2ee274bcf6188e5b6202fb1273452,2198,3.545495905368517,business,0.48817106460418563,0.38732493175614197,-0.9882,0.9984,0.63305,1819,1.2083562396921386
Jocko Podcast,a3a535f66c7e8004e7dc54c2b2829a9e,1436,4.853760445682451,business,0.754874651810585,0.6009812674094708,-0.9798,0.9967,0.78335,1334,1.0764617691154423
RISE podcast,f335df99185d1401ada492230b42514a,1280,3.61875,business,0.61640625,0.546588359375,-0.9827,0.9985,0.84155,1214,1.0543657331136738
Planet Money,fa3cac03e05c1e9ec792e95e4850d7ce,1268,4.014984227129338,business,0.6332807570977917,0.49624692429022077,-0.9744,0.9938,0.7051499999999999,1197,1.059314954051796
ChooseFI,cc451ec20dfe8f985c246cc71749917d,1055,4.712796208530806,business,0.9146919431279621,0.7856824644549762,-0.9673,0.999,0.9124,1009,1.045589692765114
BiggerPockets Real Estate Podcast,c5f250bd8c7263eb67bf89846d47d24b,1036,4.61003861003861,business,0.8571428571428571,0.6986254826254827,-0.9543,0.9988,0.8407,1020,1.0156862745098039
Macro Voices,ce13112f4ae0fd664ebfb4f549b841fa,887,4.792559188275084,business,0.7914317925591883,0.6052613303269447,-0.9062,0.9896,0.7424,829,1.0699638118214716
The Ryan Pineda Show,ec93305028debec92ed0681fa5742a90,803,4.976338729763388,business,0.9178082191780822,0.7198352428393524,-0.7269,0.9903,0.8143,791,1.0151706700379266
Trading Secrets,f37de1f9e2221d325627021c0ea7495b,772,4.88860103626943,business,0.9365284974093264,0.8060980569948187,-0.9182,0.9971,0.9059,702,1.0997150997150997
Little Stories for Tiny People: Anytime and bedtime stories for kids,da75affedf5e432198413b9a3a9bddf0,1766,4.818799546998868,arts,0.8091732729331823,0.6696181200453001,-0.9727,0.9982,0.8271999999999999,1056,1.6723484848484849
LadyGang,d34629baca14d87860276b12a6cb7a3b,1478,4.259810554803789,arts,0.6948579161028416,0.5967251691474966,-0.9785,0.9989,0.8439,1321,1.1188493565480697
Absolutely Not,beea9ae6cbe2011ad21923572ee4598f,1428,4.611344537815126,arts,0.7871148459383753,0.6293717787114845,-0.9733,0.9965,0.8158,1314,1.08675799086758
WTF with Marc Maron Podcast,df6cb13f95aec96d9282c6fa3cf506ac,1412,4.308073654390935,arts,0.6352691218130312,0.5062654390934844,-0.9952,0.9997,0.72915,1166,1.2109777015437393
Potterless,ea0f9fd204175e5a668a1c4b8084d442,1123,4.457702582368656,arts,0.7907390917186109,0.678912466607302,-0.9752,0.9988,0.8846,1058,1.061436672967864
A Dana Perino Podcast: Everything Will Be Okay,ba9407243dfdf7e3f129b92ca493b8d7,1118,4.353309481216458,arts,0.7397137745974955,0.6207420393559927,-0.993,0.9985,0.82605,935,1.19572192513369
The Jeselnik & Rosenthal Vanity Project,ffd0e3e2957338ee79bbb5ef6ee1b353,973,4.7656731757451185,arts,0.5868448098663926,0.4496207605344296,-0.9468,0.9937,0.6114,859,1.1327124563445867
Here's The Thing with Alec Baldwin,aecafebb296672ae4ca52d76d7e6e0c3,881,4.211123723041998,arts,0.677639046538025,0.5671124858115777,-0.9801,0.9954,0.8074,841,1.04756242568371
Snap Judgment,f2970432aad718a000ebac10e48ae6b0,819,4.501831501831502,arts,0.7887667887667887,0.626786691086691,-0.9828,1.0,0.8016,748,1.0949197860962567
Bertcast's podcast,bfdd855eb94482ab79617ad580270790,706,4.335694050991502,arts,0.6345609065155807,0.5062576487252125,-0.9976,0.9959,0.6976,654,1.0795107033639144
